path,name,importance,weight
C:/Users/rr70wedu/Nextcloud/geohack19/data/raster/soilDepth.tif,Soil Depth,max,1
C:/Users/rr70wedu/Nextcloud/geohack19/data/raster/slope.tif,Slope,min,1
C:/Users/rr70wedu/Nextcloud/geohack19/data/raster/soilPorosity.tif,Soil Porosity,min,1
C:/Users/rr70wedu/Nextcloud/geohack19/data/raster/soilPorosity.tif,Growndwater recharge,max,1
C:/Users/rr70wedu/Nextcloud/geohack19/data/raster/soilPorosity.tif,Pop. Density,min,0.5
C:/Users/rr70wedu/Nextcloud/geohack19/data/raster/travelTime.tif,Distance to cities,max,0.5
C:/Users/rr70wedu/Nextcloud/geohack19/data/raster/seasonalWater.tif,Water (seasonal),max,0.2
C:/Users/rr70wedu/Nextcloud/geohack19/data/raster/permanentWater.tif,Water (permanent),min,0.2
C:/Users/rr70wedu/Nextcloud/geohack19/data/raster/ndvi.tif,NDVI,max,0.2
C:/Users/rr70wedu/Nextcloud/geohack19/data/raster/distanceRiver.tif,river,max,0.1
C:/Users/rr70wedu/Nextcloud/geohack19/data/raster/distanceLake.tif,lake,max,0.1
